index,pruid,prname,prnameFR,sdate,numconf,numprob,numdeaths,numtotal,numtoday,ratetotal
40,59,British Columbia,Colombie-Britannique,3/6/2020,21,0,0,21,0,0.41
41,24,Quebec,QuÃ©bec,3/6/2020,2,0,0,2,0,0.02
42,1,Canada,Canada,3/6/2020,51,0,0,51,6,0.14
43,35,Ontario,Ontario,3/7/2020,28,0,0,28,0,0.19
44,59,British Columbia,Colombie-Britannique,3/7/2020,27,0,0,27,6,0.53
45,24,Quebec,QuÃ©bec,3/7/2020,2,0,0,2,0,0.02
46,1,Canada,Canada,3/7/2020,57,0,0,57,6,0.15
47,35,Ontario,Ontario,3/8/2020,31,0,0,31,3,0.21
48,59,British Columbia,Colombie-Britannique,3/8/2020,27,0,1,27,0,0.53
49,24,Quebec,QuÃ©bec,3/8/2020,3,0,0,3,1,0.04
50,48,Alberta,Alberta,3/8/2020,1,0,0,1,1,0.02
51,1,Canada,Canada,3/8/2020,62,0,1,62,5,0.16
52,35,Ontario,Ontario,3/9/2020,34,0,0,34,3,0.23
53,59,British Columbia,Colombie-Britannique,3/9/2020,32,0,1,32,5,0.63
54,24,Quebec,QuÃ©bec,3/9/2020,4,0,0,4,1,0.05
55,48,Alberta,Alberta,3/9/2020,7,0,0,7,6,0.16
56,1,Canada,Canada,3/9/2020,77,0,1,77,15,0.2
57,59,British Columbia,Colombie-Britannique,3/11/2020,39,0,1,39,7,0.77
58,48,Alberta,Alberta,3/11/2020,14,0,0,14,7,0.32
59,47,Saskatchewan,Saskatchewan,3/11/2020,0,0,0,0,0,0
60,46,Manitoba,Manitoba,3/11/2020,0,0,0,0,0,0
61,35,Ontario,Ontario,3/11/2020,42,0,1,42,8,0.29
62,24,Quebec,QuÃ©bec,3/11/2020,7,0,0,7,3,0.08
63,13,New Brunswick,Nouveau-Brunswick,3/11/2020,0,0,0,0,0,0
64,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/11/2020,0,0,0,0,0,0
65,12,Nova Scotia,Nouvelle-Ã‰cosse,3/11/2020,0,0,0,0,0,0
66,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/11/2020,0,0,0,0,0,0
67,61,Northwest Territories,Territoires du Nord-Ouest,3/11/2020,0,0,0,0,0,0
68,62,Nunavut,Nunavut,3/11/2020,0,0,0,0,0,0
69,60,Yukon,Yukon,3/11/2020,0,0,0,0,0,0
70,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/11/2020,1,0,0,1,1,
71,1,Canada,Canada,3/11/2020,103,0,2,103,26,0.27
72,59,British Columbia,Colombie-Britannique,3/12/2020,46,0,1,46,7,0.91
73,48,Alberta,Alberta,3/12/2020,19,0,0,19,5,0.43
74,47,Saskatchewan,Saskatchewan,3/12/2020,0,1,0,1,1,0.09
75,46,Manitoba,Manitoba,3/12/2020,0,1,0,1,1,0.07
76,35,Ontario,Ontario,3/12/2020,59,0,1,59,17,0.41
77,24,Quebec,QuÃ©bec,3/12/2020,13,0,0,13,6,0.15
78,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/12/2020,0,0,0,0,0,0
79,13,New Brunswick,Nouveau-Brunswick,3/12/2020,0,1,0,1,1,0.13
80,12,Nova Scotia,Nouvelle-Ã‰cosse,3/12/2020,0,0,0,0,0,0
81,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/12/2020,0,0,0,0,0,0
82,60,Yukon,Yukon,3/12/2020,0,0,0,0,0,0
83,61,Northwest Territories,Territoires du Nord-Ouest,3/12/2020,0,0,0,0,0,0
84,62,Nunavut,Nunavut,3/12/2020,0,0,0,0,0,0
85,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/12/2020,1,0,0,1,0,
86,1,Canada,Canada,3/12/2020,138,3,2,141,38,0.38
87,59,British Columbia,Colombie-Britannique,3/13/2020,53,0,1,53,7,1.05
88,48,Alberta,Alberta,3/13/2020,23,0,0,23,4,0.53
89,47,Saskatchewan,Saskatchewan,3/13/2020,0,1,0,1,0,0.09
90,46,Manitoba,Manitoba,3/13/2020,1,2,0,3,2,0.22
91,35,Ontario,Ontario,3/13/2020,79,0,1,79,20,0.54
92,24,Quebec,QuÃ©bec,3/13/2020,17,0,0,17,4,0.2
93,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/13/2020,0,0,0,0,0,0
94,13,New Brunswick,Nouveau-Brunswick,3/13/2020,1,0,0,1,0,0.13
95,12,Nova Scotia,Nouvelle-Ã‰cosse,3/13/2020,0,0,0,0,0,0
96,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/13/2020,0,0,0,0,0,0
97,60,Yukon,Yukon,3/13/2020,0,0,0,0,0,0
98,61,Northwest Territories,Territoires du Nord-Ouest,3/13/2020,0,0,0,0,0,0
0,35,Ontario,Ontario,1/31/2020,3,0,0,3,3,0.02
1,59,British Columbia,Colombie-Britannique,1/31/2020,1,0,0,1,1,0.02
2,1,Canada,Canada,1/31/2020,4,0,0,4,4,0.01
3,35,Ontario,Ontario,2/8/2020,3,0,0,3,0,0.02
4,59,British Columbia,Colombie-Britannique,2/8/2020,4,0,0,4,3,0.08
5,1,Canada,Canada,2/8/2020,7,0,0,7,3,0.02
6,35,Ontario,Ontario,2/16/2020,3,0,0,3,0,0.02
7,59,British Columbia,Colombie-Britannique,2/16/2020,5,0,0,5,1,0.1
8,1,Canada,Canada,2/16/2020,8,0,0,8,1,0.02
9,35,Ontario,Ontario,2/21/2020,3,0,0,3,0,0.02
10,59,British Columbia,Colombie-Britannique,2/21/2020,6,0,0,6,1,0.12
11,1,Canada,Canada,2/21/2020,9,0,0,9,1,0.02
12,35,Ontario,Ontario,2/24/2020,4,0,0,4,1,0.03
13,59,British Columbia,Colombie-Britannique,2/24/2020,6,0,0,6,0,0.12
14,1,Canada,Canada,2/24/2020,10,0,0,10,1,0.03
15,35,Ontario,Ontario,2/25/2020,4,0,0,4,0,0.03
16,59,British Columbia,Colombie-Britannique,2/25/2020,7,0,0,7,1,0.14
17,1,Canada,Canada,2/25/2020,11,0,0,11,1,0.03
18,35,Ontario,Ontario,2/26/2020,5,0,0,5,1,0.03
19,59,British Columbia,Colombie-Britannique,2/26/2020,7,0,0,7,0,0.14
20,1,Canada,Canada,2/26/2020,12,0,0,12,1,0.03
21,35,Ontario,Ontario,2/27/2020,6,0,0,6,1,0.04
22,59,British Columbia,Colombie-Britannique,2/27/2020,7,0,0,7,0,0.14
23,1,Canada,Canada,2/27/2020,13,0,0,13,1,0.03
24,35,Ontario,Ontario,2/29/2020,8,0,0,8,2,0.05
25,59,British Columbia,Colombie-Britannique,2/29/2020,7,0,0,7,0,0.14
26,1,Canada,Canada,2/29/2020,15,0,0,15,2,0.04
27,35,Ontario,Ontario,3/1/2020,15,0,0,15,7,0.1
28,59,British Columbia,Colombie-Britannique,3/1/2020,8,0,0,8,1,0.16
29,24,Quebec,QuÃ©bec,3/1/2020,1,0,0,1,1,0.01
30,1,Canada,Canada,3/1/2020,24,0,0,24,9,0.06
31,35,Ontario,Ontario,3/3/2020,20,0,0,20,5,0.14
32,59,British Columbia,Colombie-Britannique,3/3/2020,12,0,0,12,4,0.24
33,24,Quebec,QuÃ©bec,3/3/2020,1,0,0,1,0,0.01
34,1,Canada,Canada,3/3/2020,33,0,0,33,9,0.09
35,35,Ontario,Ontario,3/5/2020,22,0,0,22,2,0.15
36,59,British Columbia,Colombie-Britannique,3/5/2020,21,0,0,21,9,0.41
37,24,Quebec,QuÃ©bec,3/5/2020,2,0,0,2,1,0.02
38,1,Canada,Canada,3/5/2020,45,0,0,45,12,0.12
39,35,Ontario,Ontario,3/6/2020,28,0,0,28,6,0.19
214,13,New Brunswick,Nouveau-Brunswick,3/21/2020,9,8,0,17,6,2.19
215,12,Nova Scotia,Nouvelle-Ã‰cosse,3/21/2020,9,12,0,21,6,2.16
216,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/21/2020,2,0,0,2,0,1.27
217,60,Yukon,Yukon,3/21/2020,0,0,0,0,0,0
218,61,Northwest Territories,Territoires du Nord-Ouest,3/21/2020,1,0,0,1,1,2.23
219,62,Nunavut,Nunavut,3/21/2020,0,0,0,0,0,0
220,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/21/2020,13,0,0,13,0,
221,1,Canada,Canada,3/21/2020,1302,69,18,1371,367,3.65
222,59,British Columbia,Colombie-Britannique,3/22/2020,424,0,10,424,0,8.36
223,48,Alberta,Alberta,3/22/2020,259,0,1,259,33,5.92
224,47,Saskatchewan,Saskatchewan,3/22/2020,33,19,0,52,8,4.43
225,46,Manitoba,Manitoba,3/22/2020,11,8,0,19,0,1.39
226,35,Ontario,Ontario,3/22/2020,425,0,5,425,48,2.92
227,24,Quebec,QuÃ©bec,3/22/2020,221,0,4,221,0,2.6
228,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/22/2020,3,6,0,9,3,1.73
229,13,New Brunswick,Nouveau-Brunswick,3/22/2020,9,8,0,17,0,2.19
230,12,Nova Scotia,Nouvelle-Ã‰cosse,3/22/2020,28,0,0,28,7,2.88
231,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/22/2020,3,0,0,3,1,1.91
232,60,Yukon,Yukon,3/22/2020,0,0,0,0,0,0
233,61,Northwest Territories,Territoires du Nord-Ouest,3/22/2020,1,0,0,1,0,2.23
